,mean_pitch,std_pitch,jitter,shimmer,hnr,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,tempo,spectral_flux,zero_crossing_rate,dynamic_range,onset_rate,key,mode,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,label
10,1703.7284,1061.7031,6.319646,0.0076481043,0.0765619962111691,2932.3091257470696,2971.46802431584,19.70524900980613,0.00043128652,114.79591837,1.0529348,0.0743920729348448,0.23360021,5.757117146596858,11,1,-153.46219,92.73382,155.00046,34.53767,-56.934925,20.533216,43.667942,15.20394,-10.09299,16.083149,11.383325,17.759516,-4.1562996,11.976351,8.464354,13.334999,-1.4291738,8.460222,10.297116,8.779102,1.283027,9.25168,0.33759862,7.6596575,0.0338729,7.64002,1
11,1657.639,1091.2609,5.5690436,0.01000818,0.5926288641674652,3859.85081894008,4053.010306493141,20.515549194801437,0.0013581448,140.625,1.1337591,0.08519375139895,0.32201883,4.594391077824812,10,1,-100.330986,59.787697,121.014755,27.096964,-39.09016,16.451336,36.164112,17.62713,-12.177044,16.671429,16.71913,15.738802,-13.219864,12.910592,12.413303,14.318335,-8.602832,8.926281,9.5102215,10.416838,-5.0385385,9.006097,8.464658,8.752095,-7.3173704,7.802412,1
12,1519.1527,1040.5347,6.0443773,0.008738531,0.0698133737724316,3260.5937590422923,3659.4340941018872,20.02998969763139,0.0011005105,122.2826087,1.2505039,0.067791960943685,0.30040586,4.291926695230998,0,1,-193.07854,77.26546,134.49457,41.932774,-26.014267,29.463667,28.991262,22.736086,-5.7812343,20.270956,16.400385,16.599976,-7.6739225,13.607443,6.546846,14.556056,-1.5624844,10.541176,5.0466857,12.045746,-2.038519,10.051713,2.0613782,11.138535,-2.0253615,9.422041,1
13,1360.4556,1039.1737,6.0748835,0.014133543,0.0079782826077182,4011.4643828294297,4359.274946331732,20.210400601686118,0.0013092435,130.81395349,1.223472,0.0751122649898374,0.40599242,6.831489915419649,5,1,-89.928406,38.642426,117.30573,30.017368,-16.170235,18.20529,43.350082,20.229637,-15.240645,15.118381,26.332079,14.686625,-14.458761,15.063956,16.133438,11.200272,-9.815432,11.319619,8.292634,11.359639,-6.86656,8.861724,6.408633,9.813943,-4.915854,8.418259,1
14,1585.6377,1016.0704,5.428316,0.010270776,0.3825017293485299,3191.575614263327,3561.8307633782056,20.08745972995072,0.0008751911,125.0,1.0435948,0.0670888740232785,0.36661613,4.762292412894822,4,1,-113.36513,48.030224,141.65941,30.449131,-43.233604,16.91854,32.221577,14.156333,1.4110457,16.319174,15.818283,14.998129,-3.5186098,10.36617,9.971136,11.036734,-2.5302908,8.673427,11.559685,9.66403,1.2631972,8.331307,7.922721,8.334124,-2.9503837,7.3572493,1
15,984.36304,731.826,6.0619383,0.0055128965,0.837158018086379,1258.8496461643208,1848.9356592542256,19.45599769324713,2.4410083e-05,90.72580645,0.8908015,0.0258964806919734,0.33186948,12.014697441784191,7,1,-254.72667,89.84782,192.19394,30.34571,-10.240626,34.328182,12.269679,16.616453,14.912961,17.2148,8.501345,13.764644,-4.0522695,9.763671,-2.0019178,8.904902,9.494094,8.492041,0.92053694,8.015206,-2.687933,7.8978267,4.2542458,8.9724045,6.7440763,8.344108,1
16,876.23126,585.87933,3.8044727,0.010876566,0.8604206007136032,832.6548318691839,1242.27579731602,21.17738578026805,0.00029752293,108.17307692,0.9641531,0.0148192328576648,0.467115,3.5331384015594542,8,1,-255.81262,56.366653,193.29301,24.74225,13.599286,30.701584,0.9328903,23.68589,9.88483,12.469748,9.187985,11.057924,12.450364,11.377145,6.084852,8.933625,2.2771516,8.365335,4.7994437,9.398833,6.0974245,9.212743,3.6993341,9.316705,5.2453423,9.387625,1
17,1187.4972,909.0759,5.4124565,0.010539315,0.2405170898610592,1976.289410723316,2403.28841593831,20.92628553843151,0.000286396,106.13207547,1.0436795,0.0399761045083631,0.30052722,4.660087719298246,7,1,-157.9063,42.167095,189.48062,29.028143,-47.65172,15.768486,44.474216,20.819923,1.6965607,23.686747,20.699615,12.820306,1.3246316,9.319931,5.9945054,8.818239,9.813498,7.159319,2.1930547,8.023545,5.209842,7.529222,7.302961,7.813375,6.60307,8.070237,1
18,1458.0114,1122.7789,5.2454762,0.008489605,0.3383430441839021,3042.8066069975366,3522.277084546051,20.707772156140685,0.000600035,122.2826087,0.96145564,0.056533355004682,0.28327954,3.290411237785016,1,1,-177.95187,93.19204,136.7797,31.263186,-25.427195,30.861786,49.901073,22.526041,4.1763716,19.573158,28.115192,11.015478,-6.7025065,9.293097,9.853426,12.089181,-1.8175305,10.749189,4.009777,9.264096,-2.0727396,9.328727,3.8825142,8.172493,-0.2310911,8.084146,1
19,874.07324,566.8909,2.5983386,0.006485899,0.2686968094492655,965.6067480132132,1347.2749568989625,23.88921860969465,0.00033041887,95.33898305,0.66877705,0.0264065164217278,0.28723705,3.5331384015594542,5,1,-308.61078,44.52189,216.01462,27.820484,11.607684,22.663908,-21.260887,13.314103,10.106986,10.50057,1.2001123,11.970455,-10.742227,9.69641,-10.529482,8.911517,-9.865589,11.044289,-7.958051,10.861414,-7.5728183,9.533219,-6.773241,9.40924,-7.748299,9.05622,1
